Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
78/17/3;;;;Iran;;;
78/27/1;;;;;;~ 3g S;
78/34/2;;;;;;S;
78/6/1;JR 78/6/1;;;;;S;
8061 S;S JR 78/6/1;;;;;Rodnummer 2586;
8173 S;;;;;;Rodnummer 2586;
8342S;JR78/34/2;;;;;Rodnummer2586;
A1;Hausstandard;;;;;Rodnummer2586;
AC-E;;Granite;Granite;Ailsa Graig Island, S. W. Scotland, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~14,5g;http://www.geostandards.lanl.gov/AllAnalytes/All-AC-E_1.html
AGV-1;East wall of Guano valley;Andesite;Andesite;Lake County, OR;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-AGV-1_1.html
AL-I;GIT-IWG;Feldspar;Albite (Feldspar);Pinzele, Trente, ITA;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Geostandards 6,8g;http://www.geostandards.lanl.gov/AllAnalytes/All-AL-I_1.html
Amina 8;;Feldspar;Potash Feldspar;;;7,9 g;
AN-G;;Anorthosite;Anorthosite;Fiskenaesset, Western Greenland, GRL;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~15g;http://www.geostandards.lanl.gov/AllAnalytes/All-AN-G_1.html
ASK-3;ASK-3 Sulfide ORE;;;Kismalm;Analytik Sporelement K.;;
BAM 532-1;Analysen Kontrollprobe 532-1;;;;Max-Planck-Institut D.;Bundesanstalt f. Materialforschung;
BAM 633-1;Analysen Kontrollprobe 633-1;;;;Max-Planck-Institut D.;Bundesanstalt f.Matrialforschung ;
BB;;;;Gö;;;
BB 46;BB 46 Fl.D 6 GÖ;;;;;;
BCR-1;on ;Basalt;Columbia River Basalt;Bridal Veil Flow Quarry, WA;United States Geological Survey;Split 1 Positon 19;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BCR-1_1.html
BCR-1;Analyzed Basalt;Basalt;Columbia River Basalt;Bridal Veil Flow Quarry, WA;United States Geological Survey;Split 50 Positon 3;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BCR-1_1.html
BCS 267;British Chemical Standards No. 267;;Silica Brick;;;;
BCS 269;Firebrick BCS 269;;Firebrick;;;;
BCS 269;British Chemical Standards No. 269;;Firebrick;;;;
BCS 290/2;British Chemical Standards No.290/2 Manganese Steel;;;;;;
BCS 301/1;Iron ore ;;;Lincolnshire;;;
BCS 303;British Chemical Standards No. 303;;Iron Ore Sinter;;;;
BCS 308;British Chemical Standards No. 308;;Grecian Chrome Ore;;;;
BCS 309;British Chemical Standards No. 309;;Sillimanit;;;;
BCS 367;Blast Furnace BCS 367;;Slag;;;;
BCS 367;British Chemical Standards No. 367;;Blast Furnace slag;;;;
BCS 368;British Chemical Standards No. 368;Dolomite;Dolomite;;;;
BCS 372;;;Cement;Portland;;;
BCS 375;British Chemical Standards No. 375;Feldspar;Soda Feldspar;;;;
BCS 376;Potash;Feldspar;Potash Feldspar;;;;
BCS 376;British Chemical Standards No. 376;Feldspar;Potash Feldspar;;;;
BCS 389;high-purity;;Magnesit;;;;
BCS 393;;Limestone;Limestone;;;;
BCS 395;;Bauxite;Bauxite;;;;
BCSS-1;Marine Sediment;Aquatic Sediment;Marine Sediment;;;;
BE1;Braunkohlenaschen Standardprobe;;;Espenhain;;Ampullennr. 1;
BE-N;;Basalt;Basalt;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~14g;http://www.geostandards.lanl.gov/AllAnalytes/All-BE-N_1.html
BHA-1;;;Braunerde;;;Geostandard Freiberg/Sachsen;
BHVO-1;Pahoehoe lava from the Kilauea Caldera, 1919;Basalt;Basalt;Kilauea, HI;United States Geological Survey;Split 43 Position 16;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BHVO-1_1.html
BIR-1;Reykjavik dolerites;Basalt;Basalt;12km east of Reykjavik, ISL;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html
BIR-1a;Basalt aus Island;Basalt;Basalt;;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html
BM;;Basalt;Basalt;DDR;;;
BM;Standartgesteinsprobe Basalt BM;Basalt;Basalt;;Zentr. Geo. Institut DDR;50 g Herstellung 1964;
BR;;Basalt;Basalt;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;Centre de Recherches Petrographiques et Geochimiques;10g F:1000ppm;http://www.geostandards.lanl.gov/AllAnalytes/All-BR_1.html
BR;;Basalt;Basalt;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;Centre de Recherches Petrographiques et Geochimiques;130;http://www.geostandards.lanl.gov/AllAnalytes/All-BR_1.html
BS-1;Braunkohlenaschen Standardprobe;;;Bergakademie Freiberg DDR Sektion Geowissenschaften Spreetal Bluno;;;
BSl-1h;;;Hornblende;;;6,69 g;
BX-N;;Bauxite;Bauxite;Mine de Marou, Brignoles (Var), FRA ;Association Nationale de la Recherche Technique;~12g;http://www.geostandards.lanl.gov/AllAnalytes/All-BX-N_1.html
CAN MP-2;W-Mo-ore;;;Canada;;;
CCU-1a;Cu-concontrate;;;;;;
CCU-1a;Copper Concentrate CCU.1a;;;Ottawa;Geological Survey of Canada;;
CG;;;Co-Gneis;KTB;;;
CuPL;Ruda Miedzi;;;;;Institut Geologie Warschau;
