Element;Further information;;
Ag;;;Ra-226
Al;Al2O3;;
As;;;
Au;;;
B;B2O3;;
Ba;BaO;;
Be;;;
Bi;;;
Br;;;
C;CO2_Carbon Total_Carbon Inorga;;
Ca;CaO;;
Cd;;;
Ce;;;
Cl;;;
Co;;;
Cr;Cr2O3;;
Cs;;;
Cu;;;
Dy;;;
Er;;;
Eu;;;
F;;;
Fe;Fe2O3_Fe2O3-T_FeO;;
Ga;;;
Gd;;;
Ge;;;
H;H2O+_H2O-_H2O-T;;
Hf;Hf-176/177;;
Hg;;;
Ho;;;
I;;;
In;;;
Ir;;;
K;K2O;;
La;;;
Li;Li2O;;
Lu;;;
Mg;MgO;;
Mn;MnO;;
Mo;;;
N;;;
Na;Na2O;;
Nb;;;
Nd;Nd-142/144_Nd-143/144_Nd-145/144_Nd-146/144_Nd-148/144_Nd-150/144;;
Ni;;;
O;;;
Os;;;
P;P2O5;;
Pb;Pb-206/204_Pb-207/204_Pb-208/204;;
Pd;;;
Pr;;;
Pt;;;
Rb;;;
Re;;;
Rh;;;
Ru;;;
S;;;
Sb;;;
Sc;;;
Se;;;
Si;SiO2;;
Sm;Sm-147/Nd-14;;
Sn;;;
Sr;SrO_Sr-87/86;;
Ta;;;
Tb;;;
Te;;;
Th;;;
Ti;TiO2;;
Tl;;;
Tm;;;
U;U-238/235;;
V;V-51/50;;
W;;;
Y;;;
Yb;;;
Zn;ZnO;;
Zr;ZrO2;;
