Standard;rock type;producer;Material Source;Date Released;Link;Material Production Reference;Data Source Reference
AC-E;granite;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Ailsa Graig Island, S. W. Scotland, GBR;1987;https://www.geostandards.lanl.gov/AllAnalytes/All-AC-E_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
AGV-1;andesite;United States Geological Survey;East wall of Guano Valley, Lake County, OR;1970;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-AGV-1_1.html;F. J. Flanagan (1969), U. S. Geological Survey Standards - II. First Compilation of the Data for the new U.S.G.S. Rocks, Geochimica et Cosmochimica Acta, 33: 81-120.;E. S. Gladney, E. A. Jones, E. J. Nickell and I. Roelandts (1992), 1988 Compilation of Elemental Concentration Data for USGS  AGV-1, GSP-1 and G-2, Geostandards Newsletter, 16: 111-300.
AL-I;albite;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Pinzele, Trente, ITA;1983;http://www.geostandards.lanl.gov/AllAnalytes/All-AL-I_1.html;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32.; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32.
AN-G;anorthosite;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Fiskenaesset, Western Greenland, GRL;1980;http://www.geostandards.lanl.gov/AllAnalytes/All-AN-G_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
BCR-1;Columbia River Basalt;United States Geological Survey;Bridal Veil Flow Quarry, WA;1970;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BCR-1_1.html;F. J. Flanagan (1969), U. S. Geological Survey Standards - II. First Compilation of the Data for the new U.S.G.S. Rocks, Geochimica et Cosmochimica Acta, 33: 81-120.;E. S. Gladney, E. A. Jones, E. J. Nickell and I. Roelandts (1990), 1988 Compilation of Elemental Concentration Data for USGS Basalt BCR-1, Geostandards Newsletter, 14: 209-359. 
BE-N;basalt;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;1980;http://www.geostandards.lanl.gov/AllAnalytes/All-BE-N_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32
BHVO-1;Hawaiian Basalt;United States Geological Survey;Kilauea Caldera, Kilauea Volcano, HI;1976;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BHVO-1_1.html;F. J. Flanagan (1976), 1972 Compilation of Data on USGS Standards, USGS Professional Paper 840, pp. 131-183.;E. S. Gladney and I. Roelandts (1988), 1987 Compilation of Elemental Concentration Data for USGS BHVO-1, MAG-1, QLO-1, RGM-1, SCo-1, SDC-1, SGR-1 and STM-1, Geostandards Newsletter, 12: 253-362.
BIR-1;Icelandic Basalt;United States Geological Survey;Reykjavik dolerites, 12 km east of Reykjavik, Iceland;1984;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-BIR-1_1.html;"F. J. Flanagan (1984), Three USGS Mafic Rock Reference Samples, W-2, DNC-1 and BIR-1, USGS Bulletin 1623, 54 pp.; updated by Additions and Corrections for USGS Bulletin 1623, Open-File Report 86-220, issued in 1986. ";E. S. Gladney and I. Roelandts (1987), 1987 Compilation of Elemental Concentration Data for USGS BIR-1, DNC-1 and W-2, Geostandards Newsletter, 12: 63-118.
BR;basalt;Centre de Recherches Petrographiques et Geochimiques;Old Volcano near Essey-la-Côte, near Nancy, Meurthe et Moselle, FRA ;1963;http://www.geostandards.lanl.gov/AllAnalytes/All-BR_1.html;;
BX-N;bauxite;Association Nationale de la Recherche Technique;Mine de Marou, Brignoles (Var), FRA ;1969;http://www.geostandards.lanl.gov/AllAnalytes/All-BX-N_1.html;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards, Special Issue, Geostandards Newsletter, 19: 1-32
DR-N;diorite;Association Nationale de la Recherche Technique;Neuentelstein, Massif du Champ du Feu (Vosges), FRA ;1968;http://www.geostandards.lanl.gov/AllAnalytes/All-DR-N_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
DT-N;disthene (kyanite);Association Nationale de la Recherche Technique;Nanga, Eboko, CMR;1969;http://www.geostandards.lanl.gov/AllAnalytes/All-DT-N_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
DTS-1;dunite;United States Geological Survey;Twin Sisters area, Hamilton, WA;1970;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-DTS-1_1.html;F. J. Flanagan (1969), U. S. Geological Survey Standards - II. First Compilation of the Data for the new U.S.G.S. Rocks, Geochimica et Cosmochimica Acta, 33: 81-120;E. S. Gladney, E. A. Jones, E. J. Nickell and I. Roelandts (1991), 1988 Compilation of Elemental Concentration Data for USGS  DTS-1, G-1, PCC-1 and W-1, Geostandards Newsletter, 15: 199-396
